,Rhyme,Kind,Line count
0,"['A prisoner of your love. I stand behind four walls of gray.', '- Alone; your memory my only company, each solitary day.', 'Locked down; twenty four hours around the clock, without you near.', '- Living dreams of the past it seems, are all that I hold dear.']",aabb,4
1,"['Constantly and always there, memories of you flow through the air.', '- Constantly reminding me of our love. That we no longer share.', ""A prisoner of your love. Can I do the time? That's my only fear."", ""- And now the echo's of my lonely heart are the only sounds I hear.""]",aabb,4
2,"['Trapped; in this cinder block room. Shadows of gloom are here to stay.', '- Trapped here without your love, as my blood turns prison gray.', ""Release may never come to me. This cell's become my home you see."", '- Reliving how things used to be, in this gray walled penitentiary.']",aabb,4
3,"['Alcatraz; is where I dwell. Where these gray walls are my living hell.', ""- Although one day escape I may. Right now's too soon to tell."", ""Zenith's, I know our love had reached. I'll love you still as time goes on."", ""- Zealously i'll wait for thee on ''The Rock''; till my last breath is gone..""]",aabb,4
4,"['Real deal don’t simply come through,', 'Only a zealous act can make it true.', 'Can not cease on one or two successes,', 'Heed to what your innate desire focuses.']",aabb,4
5,"['Expend all the opportunities at hand,', 'Let your candid charm grabs it all with fond.', 'Life is an open arena for whatever you yearn,', 'Every victory you get is worth the train.']",aabb,4
6,"['Onward to venture and accomplish more,', 'Conquer boundaries while you explore.']",aabb,2
7,"['Sweet surrender of finding', ""One's tired soul unwinding"", 'Until life no longer matters;', 'Love unchains all its fetters.']",aabb,4
8,"[""Mirrored half of each other's mess,"", 'Aspiring always for nothing less', ""Than to love across life's pages,"", 'Either together or apart for ages.']",aabb,4
9,"['I took a Rosebud from a certain bower,', 'And by its side placed an Orange flower,', 'Then with the Speedwell, blended the perfume', 'And the sweet beauty of an Apple-bloom,']",aabb,4
10,"[""And thus, 't is one of the loveliest feats,"", ""Is spelled a gentle lady's name in sweets.""]",aabb,2
11,"['A thoughtful Being, long and spare,', 'Our Race of Mortals call him Care:', '(Were Homer living, well he knew', ""What Name the Gods have call'd him too)""]",aabb,4
12,"['With fine Mechanick Genius wrought,', ""And lov'd to work, tho' no one bought."", 'This Being, by a Model bred', ""In Jove's eternal sable Head,""]",aabb,4
13,"[""Contriv'd a Shape impow'rd to breathe,"", 'And be the Worldling here beneath.', 'The Man rose staring, like a Stake;', ""Wond'ring to see himself awake!""]",aabb,4
14,"[""Then look'd so wise, before he knew"", ""The Bus'ness he was made to do;"", ""That pleas'd to see with what a Grace"", ""He gravely shew'd his forward Face,""]",aabb,4
15,"[""Jove talk'd of breeding him on high,"", 'An Under-something of the Sky.', ""But e'er he gave the mighty Nod,"", ""Which ever binds a Poet's God:""]",aabb,4
16,"['(For which his Curls Ambrosial shake,', ""And Mother Earth's oblig'd to quake"", 'He saw old Mother Earth arise,', ""She stood confess'd before his Eyes;""]",aabb,4
17,"['But not with what we read she wore,', 'A Castle for a Crown before,', 'Nor with long Streets and longer Roads', 'Dangling behind her, like Commodes:']",aabb,4
18,"['As yet with Wreaths alone she drest,', ""And trail'd a Landskip-painted Vest."", ""Then thrice she rais'd, (as Ovid said)"", ""And thrice she bow'd, her weighty Head.""]",aabb,4
19,"[""Her Honours made, Great Jove, she cry'd,"", ""This Thing was fashion'd from my Side;"", 'His Hands, his Heart, his Head are mine;', 'Then what hast thou to call him thine?']",aabb,4
20,"['Nay rather ask, the Monarch said,', 'What boots his Hand, his Heart, his Head,', ""Were what I gave remov'd away?"", ""Thy Part's an idle Shape of Clay.""]",aabb,4
21,"[""Halves, more than Halves! cry'd honest Care,"", ""Your Pleas wou'd make your Titles fair,"", 'You claim the Body, you the Soul,', ""But I who join'd them, claim the whole.""]",aabb,4
22,"['Thus with the Gods Debate began,', 'On such a trivial Cause, as Man.', 'And can Celestial Tempers rage?', '(Quoth Virgil in a later Age.)']",aabb,4
23,"['As thus they wrangled, Time came by;', ""(There's none that paint him such as I,"", 'For what the Fabling Antients sung', 'Makes Saturn old, when Time was young.)']",aabb,4
24,"['As yet his Winters had not shed', 'Their silver Honours on his Head;', 'He just had got his Pinions free', 'From his old Sire Eternity.']",aabb,4
25,"['A Serpent girdled round he wore,', 'The Tail within the Mouth before;', 'By which our Almanacks are clear', 'That learned Ægypt meant the Year.']",aabb,4
26,"[""A Staff he carry'd, where on high"", ""A Glass was fix'd to measure by,"", 'As Amber Boxes made a Show', 'For Heads of Canes an Age ago.']",aabb,4
27,"[""His Vest, for Day, and Night, was py'd;"", ""A bending Sickle arm'd his Side;"", ""And Spring's new Months his Train adorn;"", 'The other Seasons were unborn.']",aabb,4
28,"['Known by the Gods, as near he draws,', 'They make him Umpire of the Cause.', ""O'er a low Trunk his Arm he laid,"", '(Where since his Hours a Dial made']",aabb,4
29,"['Then leaning heard the nice Debate,', ""And thus pronounc'd the Words of Fate."", 'Since Body from the Parent Earth,', ""And Soul from Jove receiv'd a Birth,""]",aabb,4
30,"['Return they where they first began;', 'But since their Union makes the Man,', ""'Till Jove and Earth shall part these two,"", ""To Care who join'd them, Man is due.""]",aabb,4
31,"['He said, and sprung with swift Career', 'To trace a Circle for the Year;', 'Where ever since the Seasons wheel,', ""And tread on one another's Heel.""]",aabb,4
32,"[""'Tis well, said Jove, and for consent"", ""Thund'ring he shook the Firmament."", 'Our Umpire Time shall have his Way,', 'With Care I let the Creature stay:']",aabb,4
33,"[""Let Bus'ness vex him, Av'rice blind,"", 'Let Doubt and Knowledge rack his Mind,', 'Let Error act, Opinion speak,', 'And Want afflict, and Sickness break,']",aabb,4
34,"['And Anger burn, Dejection chill,', 'And Joy distract, and Sorrow kill.', ""'Till arm'd by Care and taught to Mow,"", 'Time draws the long destructive Blow;']",aabb,4
35,"['And wasted Man, whose quick decay', 'Comes hurrying on before his Day,', 'Shall only find, by this Decree,', 'The Soul flies sooner back to Me.']",aabb,4
36,"['Likening to a thunder', 'came down a boulder', 'fell down with a noise', 'made things look like toys']",aabb,4
37,"['men working ran away', 'apprehensive of the fall in a way', 'luckily none were too near', 'could save their life dear']",aabb,4
38,"['the mishap caused a furore', 'the neighbours raised an uproar', 'nothing could have been done', 'as the prevention was all done']",aabb,4
39,"['certain happenings could not be predicted', 'reasons could never be attributed', 'the case could be felt in life too', 'unknown and unforeseen take place true.']",aabb,4
40,"['If you transpose what Ladies wear,', ""'Twill plainly shew what harlots are:"", 'Again, if you transpose the same,', ""You'll see an ancient Hebrew name:""]",aabb,4
41,"['Change it again, and it will shew', 'What all on earth desire to do:', 'Transpose the letters yet once more,', ""What bad men do, you'll then explore.""]",aabb,4
42,"['GLEAN from ANGEL we derive', 'WINGS which SWING, keep hope alive,', 'FORM FROM patterns living spread,', 'surviving though some seem as dead.']",aabb,4
43,"['DARE READ between the lines instead', 'of mixing in and out - DEAL LEAD', 'by first impressions, TALE LATE found', 'containing, CHUM, so MUCH profound.']",aabb,4
44,"['TEAM-MATE, when penning prose or VERSE', 'SERVE ideals high, FILE LIFE, rehearse', 'LIVE, - who OPTS POTS VILE underground', 'SPOT all TOPS POST, clocks STOP unwound.']",aabb,4
45,"['BEYOND YE BOND which terrifies', 'UNITE! UNTIE! PROD, DROP disguise,', 'DRAW joy WARD off REEF, FREE dark skies.', 'FOR TUNES trump FORTUNE’S flighty eyes.']",aabb,4
46,"['READ, DEAR, SURE RUSE personifies', 'Each VERSE to SERVE sans compromise.', 'Each REVERSE REVERES replies.', 'ITEM EMIT for as TIME flies']",aabb,4
47,"['No MITE, POOL LOOP, personnifies', 'The DEW WED, so NODE DONE advise', 'IT RIPS the SPIRIT – so scribe’s highs', 'May LOWS SLOW link, revise.']",aabb,4
48,"['Easy WOLF FLOW satisfies.', 'Splice I AM AIM to WE IS - WISE.', ""HEART'S ARTS HE MASTERS STREAMS supplies"", 'As SMILE which MILES DROPS, PRODS surprise.']",aabb,4
49,"[""PART STALE TALE's TRAP, - LO US! - SOUL ties"", 'Each THREAD - no DEARTH - needs systemize', 'You EDIT TIDE DIET DEED despise', 'Objections COLD CLOD compromise.']",aabb,4
50,"['URGES SURGE FROM FORMal guise,', 'REACT, TRACE NOW WON OWN enterprise.', 'He who GUIDES IS in DISGUISE', 'Each GENIC ZERO RECOGNIZE']",aabb,4
51,"['ALL mirrors ALL in different guise -', 'Response to dark INSURES SUNRISE!', 'The PAGE does GAPE? Just realize', 'Sometimes it OVERSIMPLIFIES']",aabb,4
52,"['Verse low for LO IMPs IMPROVISE', 'IDEAS ASIDE on SITE link TIES -', 'Some POLEMICS, where one COMPLIES', 'In ONE COMPILES, NEO BUSY BUYS,']",aabb,4
53,"['Or, FACE ITS SIN it SANCTIFIES', ""Naught - for I SIMPLE e'er IMPLIES"", 'The rhyme IS SUPPLE and SUPPLIES', ""Here sharing and 'I SCREED' DECRIES.""]",aabb,4
54,"['Rubbish IT CHASES to CHASTISE', 'Or TEACH not CHEAT, through verse RITES TRIES', 'Uses INTACT, IN TACT rectifes,', 'Good SIRE, to RISE above weak cries.']",aabb,4
55,"[""Here knots HER 'MY' - in RHYME it flies"", 'Vocation EVIL, VILE, denies.', 'END prison DEN, let VERSE SERVE guys!', 'RESPOND PONDERS, Reaction dies.']",aabb,4
56,"['Sight clear can LEAP, PEAL fast past lies...', 'Each THEME MET, HE, GAME MAGE, gains prize!', 'BEYOND YE BOND which terrifies', 'UNITE! UNTIE! shed all disguise,']",aabb,4
57,"['DRAW joy WARD off, REEF FREE dark  skies.', 'Knit I AM AIM to WE IS - WISE.', 'ROSE, SORE, RETWINS, WINTERS defies.', 'IN ONE I NONE FILE LIFE. Arise!']",aabb,4
58,"['STREAM MASTER – HEART ART HE supplies', 'The SMILE which MILES DROPS, PRODS surprise.', 'Your WOLF’S growl grows FLOWS fertilize.', 'PART is a TRAP, - LO US! - SOUL ties']",aabb,4
59,"[""In knots HER 'MY' - in RHYME it dies."", 'The PAGE does GAPE? Just realize', 'ALL mirrors ALL in different guise', 'FOR TUNES trump FORTUNE’S flighty eyes.']",aabb,4
60,"['READ, DEAR, SURE RUSE personifies', 'Each VERSE to SERVE sans compromise.', 'Each REVERSE REVERES replies,', 'Vocation EVIL VILE denies,']",aabb,4
61,"['END Lion’s DEN, REEF FREE, cease sighs', 'RESPOND PONDERS, Reaction dies.', 'Sight clear can LEAP, PEAL off past lies....', 'Each THEME MET, HE, GAME MAGE, gains prize!']",aabb,4
62,"['I am weary of lying within the chase', 'When the knights are meeting in market-place.', 'Nay, go not thou to the red-roofed town', 'Lest the hoofs of the war-horse tread thee down.']",aabb,4
63,"['But I would not go where the Squires ride,', ""I would only walk by my Lady's side."", 'Alack! and alack! thou art overbold,', ""A Forester's son may not eat off gold.""]",aabb,4
64,"['Will she love me the less that my Father is seen', 'Each Martinmas day in a doublet green?', 'Perchance she is sewing at tapestrie,', 'Spindle and loom are not meet for thee.']",aabb,4
65,"['Ah, if she is working the arras bright', 'I might ravel the threads by the fire-light.', 'Perchance she is hunting of the deer,', ""How could you follow o'er hill and mere?""]",aabb,4
66,"['Ah, if she is riding with the court,', 'I might run beside her and wind the morte.', 'Perchance she is kneeling in St. Denys,', '(On her soul may our Lady have gramercy!)']",aabb,4
67,"['Ah, if she is praying in lone chapelle,', 'I might swing the censer and ring the bell.', 'Come in, my son, for you look sae pale,', 'The father shall fill thee a stoup of ale.']",aabb,4
68,"['But who are these knights in bright array?', 'Is it a pageant the rich folks play?', ""'T is the King of England from over sea,"", 'Who has come unto visit our fair countrie.']",aabb,4
69,"['But why does the curfew toll sae low?', 'And why do the mourners walk a-row?', ""O 't is Hugh of Amiens my sister's son"", 'Who is lying stark, for his day is done.']",aabb,4
70,"['Nay, nay, for I see white lilies clear,', 'It is no strong man who lies on the bier.', ""O 't is old Dame Jeannette that kept the hall,"", 'I knew she would die at the autumn fall.']",aabb,4
71,"['Dame Jeannette had not that gold-brown hair,', 'Old Jeannette was not a maiden fair.', ""O 't is none of our kith and none of our kin,"", '(Her soul may our Lady assoil from sin!)']",aabb,4
72,"[""But I hear the boy's voice chaunting sweet,"", ""'Elle est morte, la Marguerite.'"", 'Come in, my son, and lie on the bed,', 'And let the dead folk bury their dead.']",aabb,4
73,"['O mother, you know I loved her true:', 'O mother, hath one grave room for two?']",aabb,2
74,"['I have walked through tougher Harlem where few strangers dare to go', ""And I've been in London City in the rain and in the snow"", ""And I've worked in inner Melbourne in the searing summer heat"", 'And believe me if I tell you I have earned the bread I eat.']",aabb,4
75,"[""I have laboured in deep trenches with my life I've took a dare"", ""And I've worked in cherry pickers ninety foot up in the air"", 'And the hands of time keep turning and the years go quickly by', 'And the man who lives on welfare is still better off than I.']",aabb,4
76,"[""And who needs the tag of good worker it's no big deal anyway"", ""He's a wiser and better off man who sits at home all day"", ""And his conscience doesn't prick him isn't he the lucky one"", 'And must I be one great idiot to go labouring in the sun.']",aabb,4
77,"['I was low in social ladder and I still am way down low', ""And I feel my life's been wasted for my years have nought to show"", ""Some may say he's a good worker that's of little use to me"", ""All I need is lots of money I don't need your sympathy.""]",aabb,4
78,"['I felt happy for a brief while in a green Land miles away', 'In that beautiful green Country where I lived for many a day', 'I felt inwardly contented even though I was quite poor', 'Listening to the pipits piping in the meads of Annagloor.']",aabb,4
79,"['Till the wanderlust possessed me I grew restless as the wind', 'Pity on all migrant workers, pity on all wandering kind', 'Went to live in foreign city worked with strong hard working men', ""But I've nought to show for labour I'm poor now as I was then.""]",aabb,4
80,"['In Ireland I cut down pine trees in the hills where bracken grow', 'And in Wales I picked potatoes many, many years ago', 'I have laboured for a living on myself I have been cruel', 'All the World laughs at an idiot all the World laughs at a fool.']",aabb,4
81,"[""I am getting old and weary and what hair I've left is gray"", ""And I'm well beyond the fifty and I've seen a better day"", 'And like the work weary work horse all the better years are gone', 'And I still work as a labourer and I still keep plodding on.']",aabb,4
82,"[""Please don't say he's a good worker such words I don't wish to hear"", ""For I've nought to show for labour though I've worked for many a year"", ""Words like 'good hard working fellow' does not do a thing for me"", ""All I need is lots of money, I don't need your sympathy.""]",aabb,4
83,"['I speak of love that comes to mind:', 'The moon is faithful, although blind;', 'She moves in thought she cannot speak.', 'Perfect care has made her bleak.']",aabb,4
84,"['I never dreamed the sea so deep,', 'The earth so dark; so long my sleep,', 'I have become another child.', 'I wake to see the world go wild.']",aabb,4
85,"['THE Moorish King rides up and down,', ""Through Granada's royal town;"", ""From Elvira's gate to those"", 'Of Bivarambla on he goes.']",aabb,4
86,"['Letters to the monarch tell', ""How Alhama's city fell:"", 'In the fire the scroll he threw,', 'And the messenger he slew.']",aabb,4
87,"['He quits his mule, and mounts his horse,', 'And through the street directs his course;', 'Through the street of Zacatin', 'To the Alhambra spurring in.']",aabb,4
88,"[""When the Alhambra walls he gain'd,"", ""On the moment he ordain'd"", 'That the trumpet straight should sound', 'With the silver clarion round.']",aabb,4
89,"['And when the hollow drums of war', 'Beat the loud alarm afar,', 'That the Moors of town and plain', 'Might answer to the martial strain.']",aabb,4
90,"['Then the Moors, by this aware,', ""That bloody Mars recall'd them there,"", 'One by one, and two by two,', 'To a mighty squadron grew.']",aabb,4
